DateTime,Flux_2,airTemp_c,tempC_421,stn1_Q,air_pressure_kPa,V4_adjusted,CO2_air_ppm,air_pressure_atm,CO2_air_gCO2asCPerLiter,WaterTemp_K,KH_mol.L.atm,CO2_water_gCO2asCPerLiter,deltaCO2_gCO2asCperM3,Flux_gCO2asCperM2perDay,k_m.d,Sc,K600.E.stn4
7/1/2019 0:00,NA,3.753108,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:05,NA,3.754819,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:10,NA,3.784568,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:15,NA,3.750852,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:20,NA,3.743249,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:25,NA,3.758244,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:30,NA,3.735275,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:35,NA,3.711353,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:40,NA,3.697643,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:45,NA,3.698786,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:50,NA,3.686641,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 0:55,NA,3.641388,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:00,NA,3.567005,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:05,NA,3.546325,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:10,NA,3.460121,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:15,NA,3.334762,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:20,NA,3.144966,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:25,NA,2.945793,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:30,NA,2.745425,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:35,NA,2.634706,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:40,NA,2.653549,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:45,NA,2.791333,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:50,NA,2.877296,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 1:55,NA,2.959188,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:00,NA,3.036013,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:05,NA,3.053086,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:10,NA,3.042652,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:15,NA,3.016496,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:20,NA,3.15274,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:25,NA,3.168609,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:30,NA,3.158706,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:35,NA,3.073273,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2019 2:40,NA,3.013577,NA,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
